Key,en,ja,ko
Sofia_VisName,Arcanist,秘術士,비전술사
Sofia_VisEffect,"One of the card in your hand glows purple.
Every time you use glowing card, next random card begins to glow.
Until you use a non-glowing card, all cards cost is set to 0.","手札のカード1枚が紫色に輝く。
輝いているカードを使用するたびに、別のランダムなカードが新たに輝く。
輝いていないカードを使用するまで、すべてのカードのコストは0になる。","핸드 내 카드 중 한 장이 보라색으로 빛납니다.
빛나는 카드를 사용할 때마다 다른 무작위 카드가 새로 빛나며,
빛이 없는 카드를 사용하기 전까지 모든 카드의 비용이 0이 됩니다."
Sofia_AlchName,Alchemist,錬金術師,연금술사
"Sofia_AlchEffect
","Discard all cards in your hand.
Add a single one-time card to your hand based on the total cost of the discarded cards.","手札のカードをすべて捨てる。
捨てたカードのコスト合計に応じて、使い切りカードを1枚手札に加える。",핸드 내 모든 카드를 버리고 버린 카드 비용의 합에 따라 일회성 카드 하나를 핸드에 추가합니다.
Kyla_FlaName,Sacred Flame,聖火,성화
Kyla_FlaEffect,"Convert all allies’ HP to the amount of HP they have lost.
If HP is reduced, apply 'Regeneration'.","味方全体の現在の体力を、失った体力と同じ値に変換する。
体力が減少した場合、持続回復状態を付与する。","아군 전체의 현재 체력을 잃은 만큼의 체력으로 전환합니다.
만약 체력이 감소하게 되면 '지속 회복' 상태를 적용합니다."
Kyla_JudName,Judicator,裁定者,심판자
Kyla_JudEffect,Add either a 'Mercy' or 'Judgment' card to your hand at random.,ランダムで 「慈悲」 または 「審判」 カードを手札に加える。,랜덤으로 '자비' 또는 '심판' 카드를 핸드에 추가.
Leon_LionName,Lionheart,ライオンハート,라이온하트
Leon_LionEffect,"Gain 'Ironblood' for 2 turns,
and become 'Weakness Exposed' until the end of the battle.","2ターンの間 「鉄血」 状態を得る。
さらに、戦闘終了まで 「弱点露出」 状態になる。","2턴 동안 '철혈' 상태가 되고, 전투가 끝날 때까지 '약점 노출' 상태가 됩니다."
Leon_ShaName,Shadow Guardian,影の守護者,그림자 수호자
Leon_ShaEffect,"Triple the value of all harmful effects currently applied to the enemy (cannot exceed the maximum).
Any excess amount is applied to Leon instead.","現在、敵が保有しているすべての有害効果の数値を3倍にする（上限超過不可）
上限を超えた分は、レオンが代わりに受ける。","현재 적이 보유한 모든 해로운 효과의 수치를 3배로 증가 시키며(최대치 초과 불가), 초과한 수치 만큼 레이 대신 받습니다."
