Key,en,ja,ko
Begin_Reading,Begin Reading,初読,첫 페이지
Continue,Continue,続きを読む,이어읽기
Close_Book,Close Book,本を閉じる,책 덮기
BGM,BGM,BGM,배경음
SFX,SFX,SFX,효과음
Resolution,Resolution,解像度,해상도
Language,Language,言語,언어
To_Title,To Title,タイトル,타이틀로
Close,Close,閉じる,닫기
Credit,Credit,クレジット,크레딧
Sophia,Sophia,ソフィア,소피아
Kyla,Kyla,カイラ,카일라
Leon,Leon,レオン,레온
Book_UI_Type,Type,タイプ,타입
Book_UI_Cost,Cost,コスト,코스트
Confirm,Confirm,確認,확인
Cancel,Cancel,キャンセル,취소
ReturnTitle_UI_Desc,Current combat information will not be saved.,"現在戦闘中の場合, 戦闘内容は維持されません",현재 전투중인 경우 전투 내용은 유지되지 않습니다
Reward,Reward,戦利品,전리품
Win,Page Written,戦闘勝利,전투 승리
Rest,Rest,休啓,휴식
Train,Train,修練,수련
Read,Read,読書,독서
Talk,Talk,会話,대화
CampScene_Rest_Clicked,Lets go to sleep,今日は早く寝よう,일찍 불을 끄고 잠을 청하자
CampScene_Train_Clicked,Prepare for next combat,次の戦闘に備えよう,다음 전투를 준비하자
CampScene_Read_Clicked,Lets read book together,一緒に本を読もう,함께 책을 읽자
CampScene_Conversation,Want to talk with someone,会話を交わしたい仲間がいる,같이 이야기하고 싶은 동료가 있는 것 같다
Setting_UI_LangDesc,* Changeable from Title Screen,* タイトルで変更可能,* 타이틀에서만 변경가능
TurnEnd,Turn End,ターン終了,턴 종료
Gain Card,Card Unlock,カード 解放,카드 해금
Node_Combat,Combat,戦闘,전투
Node_Rest,Rest,休憩,휴식
Node_Random,Event,遭遇,조우
Node_Elite,Elite,エリート,엘리트
Style_Management,Writing Style,文体編集,문체 관리
StageTitle_1,Chapter 1 - The First Journey,第1章 - 旅立ち,1장 - 모험의 시작
StageTitle_2,Chapter 2 - Plains of Wisdom,第2章 - 知恵の平原,2장 - 지혜의 평원
StageTitle_3,Chapter 3 – Temple of Love,第3章 ― 愛の神殿,3장 - 사랑의 신전
StageTitle_4,Chapter 4 – Battlefield of Courage,第4章 ― 勇気の戦場,4장 - 용기의 전장
StageTitle_5,Chapter 5 – The End of the Adventure,第5章 ― 冒険の終焉,5장 - 모험의 끝
Player_Turn,Player Turn,プレイヤーターン,플레이어 턴
Enemy_Turn,Enemy Turn,敵ターン,적 턴
Unwritten,"Dorothy opened her eyes to the sound of crickets chirping outside the window.
She must have fallen asleep while reading late into the night

Dorothy looked down at the open book.
Strangely, from the page she had last read, not a single word remained.
The next page, and the one after that, were blank as well

And so,
the story came to an end, unwritten","窓の外から聞こえる虫の声に、
ドロシーは目を覚ました。
夜遅くまで本を読んでいるうちに、
いつの間にか眠ってしまったようだ。

ドロシーは開いた本を見下ろした。
不思議なことに、
最後に読んでいたページからは、
一文字も残っていなかった。
次のページも、その次のページも。

こうして、
物語は書かれることのないまま終わった。","창밖에서 들려오는
풀벌레 소리에 도로시는 눈을 떴다.
밤늦도록 책을 읽다, 어느새 잠이 든 모양이었다.

도로시는 펼쳐진 책을 내려다보았다.
이상하게도 마지막으로 읽었던 페이지부터는
아무런 글자도 남아 있지 않았다.
다음 장도, 그다음 장도.

그렇게, 이야기는 쓰이지 못한 채 끝났다."
End_Of_Journey,End of the Journey,旅の終わり,여정의 끝
Card_Reward,Card Reward,カード選択,카드 보상
Setting,Setting,設定,설정
