Key,en,ja,ko
Tutorial_0_0,"Each card contains information such as cost, effect, and type.
The card's type is shown at the top right, and each character has three different types.
You can use a card by dragging it onto a target.
You can end your turn at any time by pressing the Turn End button.","カードにはコスト、効果、タイプなどの情報が含まれています。
カードのタイプは右上に表示されており、キャラクターごとに三つのタイプがあります。
カードを対象にドラッグすることで使用できます。
いつでも「ターン終了」ボタンを押して自分のターンを終えることができます。","카드에는 카드의 비용, 효과, 타입 등의 정보가 있습니다.
카드의 타입 우측 상단에 표시되어 있으며 캐릭터마다 3가지 타입을 가지고 있습니다.
카드를 대상에게 드래그하여 사용할 수 있습니다.
언제든지 턴 종료 버튼을 눌러 차례를 마칠 수 있습니다."
Tutorial_0_1,"Click a character icon at the top to view
the cards currently held by that character

Cost is restored and your Cards in hand are
refilled at the start of each turn.
Each time a card is used,
the Potential Gauge of other characters increases","上のキャラクターアイコンをクリックすると、
そのキャラクターが現在持っているカードを確認できます。

コストと手札はターン開始時に補充されます。
カードを使用するたびに、
自分以外のキャラクターの下にあるポテンシャルゲージが上昇します","코스트와 패의 카드는 턴이 시작될 때 다시 채워집니다.
상단의 캐릭터 아이콘을 클릭 시
캐릭터가 현재 보유한 카드를 확인 가능 합니다.
카드를 사용할 때 마다 본인을 제외한 다른 캐릭터 하단의
포텐셜 게이지가 상승합니다"
Tutorial_1,"In the upper-right corner map button 
lets you view your current progress on the minimap,
with Card book and Settings buttons beside it

At the writing style button,
you can use Ink obtained from battles to upgrade abilities","右上のマップから現在の状況をミニマップで確認でき、
カードブックと設定ボタンは横にあります。

右下の文体編集所では、
戦闘で獲得したインクを使って能力を強化できます。","우측 상단의 지도를 통해, 현재 진행 상태 미니맵을 확인 가능하며,
카드 도감 및 설정 에 접근 가능 합니다.

우측 하단의 문체 편집소에서는 
전투를 통해서 획득한 잉크를 사용하여 능력을 강화할 수 있습니다."
Tutorial_2_0,,,
Tutorial_4,"The types of nodes available at each stage are as follows

Battle: Fight enemies to obtain <color=blue>Ink</color>
Rest: Recover <color=orange>damage taken in battle and remove cards</color>
Event: Gain <color=green> buffs/debuffs</color> through unexpected event
Elite: Encounter <color=red>powerful enemies</color> designated for each stage","各ステージで進行できるノードの種類は以下の通りです

戦闘： 冒険を阻む敵と戦い、<color=blue>インク</color>を獲得
休憩： 戦闘で受けた<color=orange>ダメージを回復し、カードを削除</color>
遭遇： 偶然の出会いを通じて<color=green>バフ/デバフ</color>を獲得
エリート： 各ステージに登場する<color=red>強力な敵</color>と遭遇","각 스테이지에서 진행 가능한 노드의 종류는 아래와 같습니다.

전투 : 모험을 방해하는 적과 전투하여 <color=blue>잉크</color=blue>를 획득
휴식 : 전투로 인해 쌓인 <color=orange>피해를 회복하고 카드를 제거</color=orange>
조우 : 우연한 만남을 통해서 <color=green>랜덤한 버프/디버프</color> 획득
엘리트 : 각 스테이지 별 등장하는 <color=red>강력한 적</color=red> 조우"
Tutorial_5,55,55,캠프
Tutorial_6,,,
Tutorial_7,"Congratulations! You have cleared all currently implemented stages.
If you start the adventure again, you can play with new cards.
Thank you for playing — we hope you had a great time.","おめでとうございます！現在実装されているすべてのステージをクリアしました。
再び冒険を始めると、新しいカードと共にプレイできます。
プレイしていただきありがとうございます。楽しい時間を過ごされたなら幸いです。","감사합니다.
얼리 엑세스 단계에서는 4스테이지 까지만 개방하고 있습니다.
빠른 시일 내에 정식 출시를 통해 더 많은 스테이지를
제공해 드릴 수 있도록 하겠습니다!"
Tutorial_0_0_Image,"Card Types
<sprite=1>: Flame          <sprite=2>: Frost           <sprite=0>: Nature
<sprite=4>: Prayer     <sprite=5>: Holy Power     <sprite=3>: Baptism
<sprite=7>: Slash          <sprite=8>: Strike         <sprite=6>: Guard","カードタイプ
<sprite=1>: 火炎           <sprite=2>: 氷結           <sprite=0>: 自然
<sprite=4>: 祈り           <sprite=5>: 聖力           <sprite=3>: 洗礼
<sprite=7>: 斬撃           <sprite=8>: 打撃           <sprite=6>: 防御","카드 타입
<sprite=1>: 화염          <sprite=2>: 빙결          <sprite=0>: 자연
<sprite=4>: 기도          <sprite=5>: 성력          <sprite=3>: 세례
<sprite=7>: 참격          <sprite=8>: 타격          <sprite=6>: 방어"
Tutorial_3_Image,"Each card type has a corresponding type
that enhances effects when used in sequence.

current and synergy targets are highlighted with a glowing effect.","各タイプのカードには、続けて使用することで
効果が強化される対応タイプがあります。

現在のカードと連携対象のカードは、
発光エフェクトで表示されます。","각 타입별 카드들은 연계되어 효과가 강화되는 대응 타입이 존재합니다
이때 연계 대상 카드는 테두리가 이펙트로 표시됩니다."
Tutorial_2_1,"Cards and enemies can have various effects
Effects affecting a target are displayed below its HP bar","カードや敵はさまざまな効果を持っています。
対象が受けている効果はHPバーの下に表示されます。","카드 및 적들은 다양한 효과를 가지고 있습니다.
대상들이 받고 있는 효과는 체력바 하단에 표시됩니다."
Tutorial_2_1_Image,": Attack and Defense
: In Guard state,  immune to damage
: In Stunned state, cannot act
: Buffs or Debuffs",": 攻撃力と防御力
: 防御状態のキャラクターはダメージを受けません
: 気絶状態のキャラクターは行動できません
: バフやデバフ",": 공격력과 방어력
: 보호 상태인 캐릭터는 피해 면역
: 기절 상태인 캐릭터는 행동 불가
: 상태 이상 디버프"
Tutorial_0_CardCost,Card Cost,カードコスト,카드 코스트
Tutorial_0_CardType,Card Type,カードタイプ,카드 타입
Tutorial_0_CardDesc,Card Description,カード効果,카드 설명
Tutorial_3_Selected,Currently selected card,選択中のカード,현재 선택중인 카드
Tutorial_3_ReadyChain,"Card enhanced when 
the selected card is used","選択中のカード使用時に
強化されるカード","선택중인 카드를 사용 시
강화되는 카드"
Tutorial_3_Chained,Enhanced card,強化状態のカード,강화 상태의 카드
